iter	Passed	Remaining
781	1730	482
782	1732	480
783	1734	477
784	1736	475
785	1738	473
786	1740	471
787	1742	468
788	1744	466
789	1746	464
790	1748	461
791	1750	459
792	1752	457
793	1754	455
794	1756	452
795	1758	450
796	1760	448
797	1762	446
798	1764	443
799	1766	441
800	1769	439
801	1770	437
802	1772	434
803	1775	432
804	1777	430
805	1779	428
806	1781	425
807	1783	423
808	1785	421
809	1787	419
810	1789	417
811	1791	414
812	1793	412
813	1795	410
814	1797	408
815	1799	405
816	1801	403
817	1804	401
818	1806	399
819	1808	396
820	1810	394
821	1812	392
822	1814	390
823	1816	387
824	1818	385
825	1820	383
826	1822	381
827	1824	378
828	1826	376
829	1828	374
830	1830	372
831	1832	370
832	1834	367
833	1836	365
834	1839	363
835	1840	361
836	1842	358
837	1845	356
838	1847	354
839	1849	352
840	1851	350
841	1853	347
842	1855	345
843	1857	343
844	1859	341
845	1861	338
846	1863	336
847	1865	334
848	1867	332
849	1870	330
850	1872	327
851	1874	325
852	1876	323
853	1878	321
854	1880	318
855	1882	316
856	1884	314
857	1886	312
858	1889	310
859	1891	307
860	1893	305
861	1895	303
862	1897	301
863	1899	298
864	1901	296
865	1903	294
866	1905	292
867	1907	290
868	1909	287
869	1911	285
870	1913	283
871	1915	281
872	1918	279
873	1920	276
874	1922	274
875	1924	272
876	1927	270
877	1929	268
878	1931	265
879	1933	263
880	1935	261
881	1937	259
882	1939	257
883	1942	254
884	1944	252
885	1946	250
886	1948	248
887	1950	246
888	1952	243
889	1954	241
890	1956	239
891	1958	237
892	1960	234
893	1963	232
894	1965	230
895	1967	228
896	1969	226
897	1971	223
898	1973	221
899	1975	219
900	1978	217
901	1980	215
902	1982	212
903	1984	210
904	1986	208
905	1988	206
906	1990	204
907	1992	201
908	1996	199
909	1998	197
910	2000	195
911	2002	193
912	2004	191
913	2006	188
914	2008	186
915	2010	184
916	2013	182
917	2015	180
918	2017	177
919	2019	175
920	2021	173
921	2024	171
922	2026	169
923	2028	166
924	2030	164
925	2033	162
926	2035	160
927	2037	158
928	2039	155
929	2041	153
930	2043	151
931	2046	149
932	2048	147
933	2050	144
934	2052	142
935	2054	140
936	2056	138
937	2058	136
938	2060	133
939	2062	131
940	2065	129
941	2067	127
942	2069	125
943	2071	122
944	2073	120
945	2075	118
946	2093	117
947	2096	114
948	2098	112
949	2101	110
950	2103	108
951	2105	106
952	2107	103
953	2110	101
954	2112	99
955	2114	97
956	2116	95
957	2118	92
958	2120	90
959	2123	88
960	2125	86
961	2127	84
962	2129	81
963	2131	79
964	2133	77
965	2135	75
966	2137	72
967	2139	70
968	2141	68
969	2143	66
970	2146	64
971	2148	61
972	2150	59
973	2152	57
974	2154	55
975	2156	53
976	2158	50
977	2160	48
978	2163	46
979	2165	44
980	2167	41
981	2169	39
982	2171	37
983	2174	35
984	2176	33
985	2178	30
986	2180	28
987	2182	26
988	2184	24
989	2186	22
990	2205	20
991	2207	17
992	2211	15
993	2214	13
994	2216	11
995	2219	8
996	2221	6
997	2223	4
998	2226	2
999	2228	0
